dzien,data,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
89,2026-11-07,Lb 15-16,Jr 11,,,,,12871,https://biblia.deon.pl/otworz.php?skrot=Lb%2015 https://biblia.deon.pl/otworz.php?skrot=Lb%2016 https://biblia.deon.pl/otworz.php?skrot=Jr%2011
90,2026-11-08,Lb 17-18,,Prz 10,Ps 40,,,12730,https://biblia.deon.pl/otworz.php?skrot=Lb%2017 https://biblia.deon.pl/otworz.php?skrot=Lb%2018 https://biblia.deon.pl/otworz.php?skrot=Prz%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%2040
91,2026-11-09,Lb 19,Jr 12,,,Mk 6,1 Kor 16,14234,https://biblia.deon.pl/otworz.php?skrot=Lb%2019 https://biblia.deon.pl/otworz.php?skrot=Jr%2012 https://biblia.deon.pl/otworz.php?skrot=Mk%206 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2016
92,2026-11-10,Lb 20-21,Jr 13,,Ps 41,,,12941,https://biblia.deon.pl/otworz.php?skrot=Lb%2020 https://biblia.deon.pl/otworz.php?skrot=Lb%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%2013 https://biblia.deon.pl/otworz.php?skrot=Ps%2041
93,2026-11-11,Lb 22-23,,Prz 11,,,2 Kor 1,14509,https://biblia.deon.pl/otworz.php?skrot=Lb%2022 https://biblia.deon.pl/otworz.php?skrot=Lb%2023 https://biblia.deon.pl/otworz.php?skrot=Prz%2011 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%201
94,2026-11-12,Lb 24-25,Jr 14,Prz 12,,Mk 7,,14465,https://biblia.deon.pl/otworz.php?skrot=Lb%2024 https://biblia.deon.pl/otworz.php?skrot=Lb%2025 https://biblia.deon.pl/otworz.php?skrot=Jr%2014 https://biblia.deon.pl/otworz.php?skrot=Prz%2012 https://biblia.deon.pl/otworz.php?skrot=Mk%207
95,2026-11-13,Lb 26,Jr 15,Prz 13,Ps 42,,,12931,https://biblia.deon.pl/otworz.php?skrot=Lb%2026 https://biblia.deon.pl/otworz.php?skrot=Jr%2015 https://biblia.deon.pl/otworz.php?skrot=Prz%2013 https://biblia.deon.pl/otworz.php?skrot=Ps%2042
96,2026-11-14,Lb 27-28,,,Ps 43,Mk 8,2 Kor 2,13501,https://biblia.deon.pl/otworz.php?skrot=Lb%2027 https://biblia.deon.pl/otworz.php?skrot=Lb%2028 https://biblia.deon.pl/otworz.php?skrot=Ps%2043 https://biblia.deon.pl/otworz.php?skrot=Mk%208 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%202
97,2026-11-15,Lb 29,Jr 16,Prz 14,,,2 Kor 3,13001,https://biblia.deon.pl/otworz.php?skrot=Lb%2029 https://biblia.deon.pl/otworz.php?skrot=Jr%2016 https://biblia.deon.pl/otworz.php?skrot=Prz%2014 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%203
98,2026-11-16,Lb 30-31,Jr 17,Prz 15,,,,14407,https://biblia.deon.pl/otworz.php?skrot=Lb%2030 https://biblia.deon.pl/otworz.php?skrot=Lb%2031 https://biblia.deon.pl/otworz.php?skrot=Jr%2017 https://biblia.deon.pl/otworz.php?skrot=Prz%2015
99,2026-11-17,Lb 32,,,,Mk 9,2 Kor 4,12399,https://biblia.deon.pl/otworz.php?skrot=Lb%2032 https://biblia.deon.pl/otworz.php?skrot=Mk%209 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%204
100,2026-11-18,Lb 33-34,Jr 18,,Ps 44,,,12351,https://biblia.deon.pl/otworz.php?skrot=Lb%2033 https://biblia.deon.pl/otworz.php?skrot=Lb%2034 https://biblia.deon.pl/otworz.php?skrot=Jr%2018 https://biblia.deon.pl/otworz.php?skrot=Ps%2044
101,2026-11-19,Lb 35-36,Jr 19,Prz 16,,,,11211,https://biblia.deon.pl/otworz.php?skrot=Lb%2035 https://biblia.deon.pl/otworz.php?skrot=Lb%2036 https://biblia.deon.pl/otworz.php?skrot=Jr%2019 https://biblia.deon.pl/otworz.php?skrot=Prz%2016
102,2026-11-20,Pwt 1,Jr 20,,Ps 45,,2 Kor 5,12673,https://biblia.deon.pl/otworz.php?skrot=Pwt%201 https://biblia.deon.pl/otworz.php?skrot=Jr%2020 https://biblia.deon.pl/otworz.php?skrot=Ps%2045 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%205
103,2026-11-21,Pwt 2,Jr 21,,,Mk 10,,12599,https://biblia.deon.pl/otworz.php?skrot=Pwt%202 https://biblia.deon.pl/otworz.php?skrot=Jr%2021 https://biblia.deon.pl/otworz.php?skrot=Mk%2010
104,2026-11-22,Pwt 3-4,,Prz 17,Ps 46,,,13500,https://biblia.deon.pl/otworz.php?skrot=Pwt%203 https://biblia.deon.pl/otworz.php?skrot=Pwt%204 https://biblia.deon.pl/otworz.php?skrot=Prz%2017 https://biblia.deon.pl/otworz.php?skrot=Ps%2046
105,2026-11-23,Pwt 5,Jr 22,,,,2 Kor 6-7,12712,https://biblia.deon.pl/otworz.php?skrot=Pwt%205 https://biblia.deon.pl/otworz.php?skrot=Jr%2022 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%206 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%207
106,2026-11-24,Pwt 6-7,,Prz 18,,Mk 11,,12074,https://biblia.deon.pl/otworz.php?skrot=Pwt%206 https://biblia.deon.pl/otworz.php?skrot=Pwt%207 https://biblia.deon.pl/otworz.php?skrot=Prz%2018 https://biblia.deon.pl/otworz.php?skrot=Mk%2011
107,2026-11-25,Pwt 8,Jr 23,Prz 19,Ps 47,,,11409,https://biblia.deon.pl/otworz.php?skrot=Pwt%208 https://biblia.deon.pl/otworz.php?skrot=Jr%2023 https://biblia.deon.pl/otworz.php?skrot=Prz%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%2047
108,2026-11-26,Pwt 9-10,Jr 24,,,,2 Kor 8,11439,https://biblia.deon.pl/otworz.php?skrot=Pwt%209 https://biblia.deon.pl/otworz.php?skrot=Pwt%2010 https://biblia.deon.pl/otworz.php?skrot=Jr%2024 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%208
109,2026-11-27,Pwt 11,,,Ps 48,Mk 12,2 Kor 9,12353,https://biblia.deon.pl/otworz.php?skrot=Pwt%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%2048 https://biblia.deon.pl/otworz.php?skrot=Mk%2012 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%209
110,2026-11-28,Pwt 12,,Prz 20-21,Ps 49,,,10676,https://biblia.deon.pl/otworz.php?skrot=Pwt%2012 https://biblia.deon.pl/otworz.php?skrot=Prz%2020 https://biblia.deon.pl/otworz.php?skrot=Prz%2021 https://biblia.deon.pl/otworz.php?skrot=Ps%2049
111,2026-11-29,Pwt 13-14,Jr 25,,,,,11087,https://biblia.deon.pl/otworz.php?skrot=Pwt%2013 https://biblia.deon.pl/otworz.php?skrot=Pwt%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2025
112,2026-11-30,Pwt 15,Jr 26,,,Mk 13,2 Kor 10,13115,https://biblia.deon.pl/otworz.php?skrot=Pwt%2015 https://biblia.deon.pl/otworz.php?skrot=Jr%2026 https://biblia.deon.pl/otworz.php?skrot=Mk%2013 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2010
113,2026-12-01,Pwt 16-17,Jr 27,Prz 22,Ps 50,,,13871,https://biblia.deon.pl/otworz.php?skrot=Pwt%2016 https://biblia.deon.pl/otworz.php?skrot=Pwt%2017 https://biblia.deon.pl/otworz.php?skrot=Jr%2027 https://biblia.deon.pl/otworz.php?skrot=Prz%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2050
114,2026-12-02,Pwt 18-19,Jr 28,Prz 23,,,2 Kor 11,14368,https://biblia.deon.pl/otworz.php?skrot=Pwt%2018 https://biblia.deon.pl/otworz.php?skrot=Pwt%2019 https://biblia.deon.pl/otworz.php?skrot=Jr%2028 https://biblia.deon.pl/otworz.php?skrot=Prz%2023 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2011
115,2026-12-03,Pwt 20-21,Jr 29,,Ps 51,,,12265,https://biblia.deon.pl/otworz.php?skrot=Pwt%2020 https://biblia.deon.pl/otworz.php?skrot=Pwt%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%2029 https://biblia.deon.pl/otworz.php?skrot=Ps%2051
116,2026-12-04,Pwt 22,,,Ps 52,Mk 14,,12583,https://biblia.deon.pl/otworz.php?skrot=Pwt%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2052 https://biblia.deon.pl/otworz.php?skrot=Mk%2014
117,2026-12-05,Pwt 23-24,,Prz 24,,,2 Kor 12,11906,https://biblia.deon.pl/otworz.php?skrot=Pwt%2023 https://biblia.deon.pl/otworz.php?skrot=Pwt%2024 https://biblia.deon.pl/otworz.php?skrot=Prz%2024 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2012
118,2026-12-06,Pwt 25-27,Jr 30,Prz 25,,,,13518,https://biblia.deon.pl/otworz.php?skrot=Pwt%2025 https://biblia.deon.pl/otworz.php?skrot=Pwt%2026 https://biblia.deon.pl/otworz.php?skrot=Pwt%2027 https://biblia.deon.pl/otworz.php?skrot=Jr%2030 https://biblia.deon.pl/otworz.php?skrot=Prz%2025
119,2026-12-07,Pwt 28,,,Ps 53,,2 Kor 13,11685,https://biblia.deon.pl/otworz.php?skrot=Pwt%2028 https://biblia.deon.pl/otworz.php?skrot=Ps%2053 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2013
120,2026-12-08,Pwt 29,Jr 31,,,Mk 15,,14305,https://biblia.deon.pl/otworz.php?skrot=Pwt%2029 https://biblia.deon.pl/otworz.php?skrot=Jr%2031 https://biblia.deon.pl/otworz.php?skrot=Mk%2015
121,2026-12-09,Pwt 30-31,Jr 32,,,,,13905,https://biblia.deon.pl/otworz.php?skrot=Pwt%2030 https://biblia.deon.pl/otworz.php?skrot=Pwt%2031 https://biblia.deon.pl/otworz.php?skrot=Jr%2032
122,2026-12-10,Pwt 32,,Prz 26,Ps 54,Mk 16,Ga 1,13241,https://biblia.deon.pl/otworz.php?skrot=Pwt%2032 https://biblia.deon.pl/otworz.php?skrot=Prz%2026 https://biblia.deon.pl/otworz.php?skrot=Ps%2054 https://biblia.deon.pl/otworz.php?skrot=Mk%2016 https://biblia.deon.pl/otworz.php?skrot=Ga%201
123,2026-12-11,Pwt 33-34; Joz 1,Jr 33,Prz 27,,,,12998,https://biblia.deon.pl/otworz.php?skrot=Pwt%2033 https://biblia.deon.pl/otworz.php?skrot=Pwt%2034 https://biblia.deon.pl/otworz.php?skrot=Joz%201 https://biblia.deon.pl/otworz.php?skrot=Jr%2033 https://biblia.deon.pl/otworz.php?skrot=Prz%2027
124,2026-12-12,Joz 2-3,,,Ps 55,,Ga 2,11459,https://biblia.deon.pl/otworz.php?skrot=Joz%202 https://biblia.deon.pl/otworz.php?skrot=Joz%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2055 https://biblia.deon.pl/otworz.php?skrot=Ga%202
125,2026-12-13,Joz 4,,Prz 28,,Łk 1,,12917,https://biblia.deon.pl/otworz.php?skrot=Joz%204 https://biblia.deon.pl/otworz.php?skrot=Prz%2028 https://biblia.deon.pl/otworz.php?skrot=%A3k%201
126,2026-12-14,Joz 5-6,Jr 34-35,,,,,13943,https://biblia.deon.pl/otworz.php?skrot=Joz%205 https://biblia.deon.pl/otworz.php?skrot=Joz%206 https://biblia.deon.pl/otworz.php?skrot=Jr%2034 https://biblia.deon.pl/otworz.php?skrot=Jr%2035
127,2026-12-15,Joz 7,,Prz 29,Ps 56,,Ga 3,11213,https://biblia.deon.pl/otworz.php?skrot=Joz%207 https://biblia.deon.pl/otworz.php?skrot=Prz%2029 https://biblia.deon.pl/otworz.php?skrot=Ps%2056 https://biblia.deon.pl/otworz.php?skrot=Ga%203
128,2026-12-16,Joz 8-9,Jr 36,,,,,14273,https://biblia.deon.pl/otworz.php?skrot=Joz%208 https://biblia.deon.pl/otworz.php?skrot=Joz%209 https://biblia.deon.pl/otworz.php?skrot=Jr%2036
129,2026-12-17,Joz 10,,,Ps 57,Łk 2,,12706,https://biblia.deon.pl/otworz.php?skrot=Joz%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%2057 https://biblia.deon.pl/otworz.php?skrot=%A3k%202
130,2026-12-18,Joz 11-13,,Prz 30,,,,12278,https://biblia.deon.pl/otworz.php?skrot=Joz%2011 https://biblia.deon.pl/otworz.php?skrot=Joz%2012 https://biblia.deon.pl/otworz.php?skrot=Joz%2013 https://biblia.deon.pl/otworz.php?skrot=Prz%2030
131,2026-12-19,Joz 14,Jr 37,Prz 31,Ps 58,,Ga 4,11609,https://biblia.deon.pl/otworz.php?skrot=Joz%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2037 https://biblia.deon.pl/otworz.php?skrot=Prz%2031 https://biblia.deon.pl/otworz.php?skrot=Ps%2058 https://biblia.deon.pl/otworz.php?skrot=Ga%204
132,2026-12-20,Joz 15,Jr 38,,,Łk 3,,13540,https://biblia.deon.pl/otworz.php?skrot=Joz%2015 https://biblia.deon.pl/otworz.php?skrot=Jr%2038 https://biblia.deon.pl/otworz.php?skrot=%A3k%203
133,2026-12-21,Joz 16-18,,Koh 1,Ps 59,,,11780,https://biblia.deon.pl/otworz.php?skrot=Joz%2016 https://biblia.deon.pl/otworz.php?skrot=Joz%2017 https://biblia.deon.pl/otworz.php?skrot=Joz%2018 https://biblia.deon.pl/otworz.php?skrot=Koh%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2059
134,2026-12-22,Joz 19-20,Jr 39,,Ps 60,,Ga 5,12889,https://biblia.deon.pl/otworz.php?skrot=Joz%2019 https://biblia.deon.pl/otworz.php?skrot=Joz%2020 https://biblia.deon.pl/otworz.php?skrot=Jr%2039 https://biblia.deon.pl/otworz.php?skrot=Ps%2060 https://biblia.deon.pl/otworz.php?skrot=Ga%205
135,2026-12-23,Joz 21,Jr 40,,,Łk 4,,12947,https://biblia.deon.pl/otworz.php?skrot=Joz%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%2040 https://biblia.deon.pl/otworz.php?skrot=%A3k%204
136,2026-12-24,Joz 22,,Koh 2,,,Ga 6,11909,https://biblia.deon.pl/otworz.php?skrot=Joz%2022 https://biblia.deon.pl/otworz.php?skrot=Koh%202 https://biblia.deon.pl/otworz.php?skrot=Ga%206
137,2026-12-25,Joz 23-24,Jr 41-42,,,,,14027,https://biblia.deon.pl/otworz.php?skrot=Joz%2023 https://biblia.deon.pl/otworz.php?skrot=Joz%2024 https://biblia.deon.pl/otworz.php?skrot=Jr%2041 https://biblia.deon.pl/otworz.php?skrot=Jr%2042
138,2026-12-26,Sdz 1,,,,Łk 5,Ef 1,12087,https://biblia.deon.pl/otworz.php?skrot=Sdz%201 https://biblia.deon.pl/otworz.php?skrot=%A3k%205 https://biblia.deon.pl/otworz.php?skrot=Ef%201
139,2026-12-27,Sdz 2-3,Jr 43,Koh 3,Ps 61,,,12327,https://biblia.deon.pl/otworz.php?skrot=Sdz%202 https://biblia.deon.pl/otworz.php?skrot=Sdz%203 https://biblia.deon.pl/otworz.php?skrot=Jr%2043 https://biblia.deon.pl/otworz.php?skrot=Koh%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2061
140,2026-12-28,Sdz 4,Jr 44,,,,Ef 2,11745,https://biblia.deon.pl/otworz.php?skrot=Sdz%204 https://biblia.deon.pl/otworz.php?skrot=Jr%2044 https://biblia.deon.pl/otworz.php?skrot=Ef%202
141,2026-12-29,Sdz 5,,,Ps 62,Łk 6,,10759,https://biblia.deon.pl/otworz.php?skrot=Sdz%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2062 https://biblia.deon.pl/otworz.php?skrot=%A3k%206
142,2026-12-30,Sdz 6,,Koh 4-5,,,Ef 3,12622,https://biblia.deon.pl/otworz.php?skrot=Sdz%206 https://biblia.deon.pl/otworz.php?skrot=Koh%204 https://biblia.deon.pl/otworz.php?skrot=Koh%205 https://biblia.deon.pl/otworz.php?skrot=Ef%203
143,2026-12-31,Sdz 7,Jr 45-47,Koh 6,Ps 63,,,12242,https://biblia.deon.pl/otworz.php?skrot=Sdz%207 https://biblia.deon.pl/otworz.php?skrot=Jr%2045 https://biblia.deon.pl/otworz.php?skrot=Jr%2046 https://biblia.deon.pl/otworz.php?skrot=Jr%2047 https://biblia.deon.pl/otworz.php?skrot=Koh%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2063
144,2027-01-01,Sdz 8,Jr 48,,Ps 64,,,11389,https://biblia.deon.pl/otworz.php?skrot=Sdz%208 https://biblia.deon.pl/otworz.php?skrot=Jr%2048 https://biblia.deon.pl/otworz.php?skrot=Ps%2064
145,2027-01-02,Sdz 9,,,,,Ef 4,11662,https://biblia.deon.pl/otworz.php?skrot=Sdz%209 https://biblia.deon.pl/otworz.php?skrot=Ef%204
146,2027-01-03,Sdz 10,,Koh 7,,Łk 7,,11230,https://biblia.deon.pl/otworz.php?skrot=Sdz%2010 https://biblia.deon.pl/otworz.php?skrot=Koh%207 https://biblia.deon.pl/otworz.php?skrot=%A3k%207
147,2027-01-04,Sdz 11-12,,,Ps 65,,Ef 5,12395,https://biblia.deon.pl/otworz.php?skrot=Sdz%2011 https://biblia.deon.pl/otworz.php?skrot=Sdz%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2065 https://biblia.deon.pl/otworz.php?skrot=Ef%205
148,2027-01-05,Sdz 13-14,Jr 49,,,,,12595,https://biblia.deon.pl/otworz.php?skrot=Sdz%2013 https://biblia.deon.pl/otworz.php?skrot=Sdz%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2049
149,2027-01-06,Sdz 15,,,Ps 66,Łk 8,,11365,https://biblia.deon.pl/otworz.php?skrot=Sdz%2015 https://biblia.deon.pl/otworz.php?skrot=Ps%2066 https://biblia.deon.pl/otworz.php?skrot=%A3k%208
150,2027-01-07,Sdz 16-17,,Koh 8,,,Ef 6,12449,https://biblia.deon.pl/otworz.php?skrot=Sdz%2016 https://biblia.deon.pl/otworz.php?skrot=Sdz%2017 https://biblia.deon.pl/otworz.php?skrot=Koh%208 https://biblia.deon.pl/otworz.php?skrot=Ef%206
151,2027-01-08,Sdz 18,Jr 50,,Ps 67,,,12390,https://biblia.deon.pl/otworz.php?skrot=Sdz%2018 https://biblia.deon.pl/otworz.php?skrot=Jr%2050 https://biblia.deon.pl/otworz.php?skrot=Ps%2067
152,2027-01-09,Sdz 19,Jr 51,,,,,13673,https://biblia.deon.pl/otworz.php?skrot=Sdz%2019 https://biblia.deon.pl/otworz.php?skrot=Jr%2051
153,2027-01-10,Sdz 20,,Koh 9-10,,,Flp 1,15321,https://biblia.deon.pl/otworz.php?skrot=Sdz%2020 https://biblia.deon.pl/otworz.php?skrot=Koh%209 https://biblia.deon.pl/otworz.php?skrot=Koh%2010 https://biblia.deon.pl/otworz.php?skrot=Flp%201
154,2027-01-11,Sdz 21,,,Ps 68,Łk 9,,13942,https://biblia.deon.pl/otworz.php?skrot=Sdz%2021 https://biblia.deon.pl/otworz.php?skrot=Ps%2068 https://biblia.deon.pl/otworz.php?skrot=%A3k%209
155,2027-01-12,Rt 1-2,Jr 52,,,,,11745,https://biblia.deon.pl/otworz.php?skrot=Rt%201 https://biblia.deon.pl/otworz.php?skrot=Rt%202 https://biblia.deon.pl/otworz.php?skrot=Jr%2052
156,2027-01-13,Rt 3,,Koh 11-12,Ps 69,,Flp 2,12239,https://biblia.deon.pl/otworz.php?skrot=Rt%203 https://biblia.deon.pl/otworz.php?skrot=Koh%2011 https://biblia.deon.pl/otworz.php?skrot=Koh%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2069 https://biblia.deon.pl/otworz.php?skrot=Flp%202
157,2027-01-14,Rt 4; 1 Sm 1,Lm 1,,Ps 70,,Flp 3,13636,https://biblia.deon.pl/otworz.php?skrot=Rt%204 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%201 https://biblia.deon.pl/otworz.php?skrot=Lm%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2070 https://biblia.deon.pl/otworz.php?skrot=Flp%203
158,2027-01-15,1 Sm 2,,Pnp 1-2,,Łk 10,,13301,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%202 https://biblia.deon.pl/otworz.php?skrot=Pnp%201 https://biblia.deon.pl/otworz.php?skrot=Pnp%202 https://biblia.deon.pl/otworz.php?skrot=%A3k%2010
159,2027-01-16,1 Sm 3-5,Lm 2,,,,,11858,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%203 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%204 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%205 https://biblia.deon.pl/otworz.php?skrot=Lm%202
160,2027-01-17,1 Sm 6-7,Lm 3,,Ps 71,,,12086,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%206 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%207 https://biblia.deon.pl/otworz.php?skrot=Lm%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2071
161,2027-01-18,1 Sm 8-9,,,,Łk 11,,13177,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%208 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%209 https://biblia.deon.pl/otworz.php?skrot=%A3k%2011
162,2027-01-19,1 Sm 10-11,Lm 4-5,,,,Flp 4,12938,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2010 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2011 https://biblia.deon.pl/otworz.php?skrot=Lm%204 https://biblia.deon.pl/otworz.php?skrot=Lm%205 https://biblia.deon.pl/otworz.php?skrot=Flp%204
163,2027-01-20,1 Sm 12,,Pnp 3-4,Ps 72,,Kol 1,12261,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2012 https://biblia.deon.pl/otworz.php?skrot=Pnp%203 https://biblia.deon.pl/otworz.php?skrot=Pnp%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2072 https://biblia.deon.pl/otworz.php?skrot=Kol%201
164,2027-01-21,1 Sm 13,Ba 1,Pnp 5-6,Ps 73,,,11899,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2013 https://biblia.deon.pl/otworz.php?skrot=Ba%201 https://biblia.deon.pl/otworz.php?skrot=Pnp%205 https://biblia.deon.pl/otworz.php?skrot=Pnp%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2073
165,2027-01-22,1 Sm 14-15,,,,,,12318,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2014 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2015
166,2027-01-23,1 Sm 16,,,,Łk 12,Kol 2,12973,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2016 https://biblia.deon.pl/otworz.php?skrot=%A3k%2012 https://biblia.deon.pl/otworz.php?skrot=Kol%202
167,2027-01-24,1 Sm 17,Ba 2,,Ps 74,,,14292,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2017 https://biblia.deon.pl/otworz.php?skrot=Ba%202 https://biblia.deon.pl/otworz.php?skrot=Ps%2074
168,2027-01-25,1 Sm 18,Ba 3-4,Pnp 7,,,,12588,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2018 https://biblia.deon.pl/otworz.php?skrot=Ba%203 https://biblia.deon.pl/otworz.php?skrot=Ba%204 https://biblia.deon.pl/otworz.php?skrot=Pnp%207
169,2027-01-26,1 Sm 19,,,Ps 75,Łk 13,Kol 3,11274,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%2075 https://biblia.deon.pl/otworz.php?skrot=%A3k%2013 https://biblia.deon.pl/otworz.php?skrot=Kol%203
170,2027-01-27,1 Sm 20-21,Ba 5,Pnp 8,,,,11309,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2020 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2021 https://biblia.deon.pl/otworz.php?skrot=Ba%205 https://biblia.deon.pl/otworz.php?skrot=Pnp%208
171,2027-01-28,1 Sm 22-23,,,Ps 76,,Kol 4; 1 Tes 1,11855,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2022 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2023 https://biblia.deon.pl/otworz.php?skrot=Ps%2076 https://biblia.deon.pl/otworz.php?skrot=Kol%204 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%201
172,2027-01-29,1 Sm 24,,Mdr 1-2,,Łk 14,,11472,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2024 https://biblia.deon.pl/otworz.php?skrot=Mdr%201 https://biblia.deon.pl/otworz.php?skrot=Mdr%202 https://biblia.deon.pl/otworz.php?skrot=%A3k%2014
173,2027-01-30,1 Sm 25,Ba 6,,,,,14937,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2025 https://biblia.deon.pl/otworz.php?skrot=Ba%206
174,2027-01-31,1 Sm 26,,Mdr 3,Ps 77,Łk 15,1 Tes 2,13195,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2026 https://biblia.deon.pl/otworz.php?skrot=Mdr%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2077 https://biblia.deon.pl/otworz.php?skrot=%A3k%2015 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%202
175,2027-02-01,1 Sm 27-29,Ez 1-2,,,,,12608,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2027 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2028 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2029 https://biblia.deon.pl/otworz.php?skrot=Ez%201 https://biblia.deon.pl/otworz.php?skrot=Ez%202
176,2027-02-02,1 Sm 30-31,,,Ps 78,,1 Tes 3,13148,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2030 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2031 https://biblia.deon.pl/otworz.php?skrot=Ps%2078 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%203
177,2027-02-03,2 Sm 1,Ez 3,Mdr 4,,Łk 16,,12976,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%201 https://biblia.deon.pl/otworz.php?skrot=Ez%203 https://biblia.deon.pl/otworz.php?skrot=Mdr%204 https://biblia.deon.pl/otworz.php?skrot=%A3k%2016
178,2027-02-04,2 Sm 2,Ez 4-5,,,,1 Tes 4,11538,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%202 https://biblia.deon.pl/otworz.php?skrot=Ez%204 https://biblia.deon.pl/otworz.php?skrot=Ez%205 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%204
179,2027-02-05,2 Sm 3,,,Ps 79,Łk 17,1 Tes 5,12876,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2079 https://biblia.deon.pl/otworz.php?skrot=%A3k%2017 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%205
180,2027-02-06,2 Sm 4-6,Ez 6,Mdr 5,,,,12715,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%204 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%205 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%206 https://biblia.deon.pl/otworz.php?skrot=Ez%206 https://biblia.deon.pl/otworz.php?skrot=Mdr%205
