dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
73,Lb 27-28,Jr 9,Prz 14,,,2 Kor 2-3,16818,https://biblia.deon.pl/otworz.php?skrot=Lb%2027 https://biblia.deon.pl/otworz.php?skrot=Lb%2028 https://biblia.deon.pl/otworz.php?skrot=Jr%209 https://biblia.deon.pl/otworz.php?skrot=Prz%2014 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%202 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%203
74,Lb 29-31,Jr 10,,Ps 44,,,18724,https://biblia.deon.pl/otworz.php?skrot=Lb%2029 https://biblia.deon.pl/otworz.php?skrot=Lb%2030 https://biblia.deon.pl/otworz.php?skrot=Lb%2031 https://biblia.deon.pl/otworz.php?skrot=Jr%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%2044
75,Lb 32,Jr 11,Prz 15,,Mk 9,2 Kor 4,18059,https://biblia.deon.pl/otworz.php?skrot=Lb%2032 https://biblia.deon.pl/otworz.php?skrot=Jr%2011 https://biblia.deon.pl/otworz.php?skrot=Prz%2015 https://biblia.deon.pl/otworz.php?skrot=Mk%209 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%204
76,Lb 33-34,Jr 12,Prz 16,Ps 45,,2 Kor 5,16233,https://biblia.deon.pl/otworz.php?skrot=Lb%2033 https://biblia.deon.pl/otworz.php?skrot=Lb%2034 https://biblia.deon.pl/otworz.php?skrot=Jr%2012 https://biblia.deon.pl/otworz.php?skrot=Prz%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%2045 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%205
77,Lb 35-36,Jr 13,,,Mk 10,,15670,https://biblia.deon.pl/otworz.php?skrot=Lb%2035 https://biblia.deon.pl/otworz.php?skrot=Lb%2036 https://biblia.deon.pl/otworz.php?skrot=Jr%2013 https://biblia.deon.pl/otworz.php?skrot=Mk%2010
78,Pwt 1,Jr 14,Prz 17,Ps 46,,2 Kor 6-7,16229,https://biblia.deon.pl/otworz.php?skrot=Pwt%201 https://biblia.deon.pl/otworz.php?skrot=Jr%2014 https://biblia.deon.pl/otworz.php?skrot=Prz%2017 https://biblia.deon.pl/otworz.php?skrot=Ps%2046 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%206 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%207
79,Pwt 2-3,Jr 15,Prz 18-19,Ps 47,,,15922,https://biblia.deon.pl/otworz.php?skrot=Pwt%202 https://biblia.deon.pl/otworz.php?skrot=Pwt%203 https://biblia.deon.pl/otworz.php?skrot=Jr%2015 https://biblia.deon.pl/otworz.php?skrot=Prz%2018 https://biblia.deon.pl/otworz.php?skrot=Prz%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%2047
80,Pwt 4-5,Jr 16,,,Mk 11,,17793,https://biblia.deon.pl/otworz.php?skrot=Pwt%204 https://biblia.deon.pl/otworz.php?skrot=Pwt%205 https://biblia.deon.pl/otworz.php?skrot=Jr%2016 https://biblia.deon.pl/otworz.php?skrot=Mk%2011
81,Pwt 6-8,Jr 17,,Ps 48,,2 Kor 8,17387,https://biblia.deon.pl/otworz.php?skrot=Pwt%206 https://biblia.deon.pl/otworz.php?skrot=Pwt%207 https://biblia.deon.pl/otworz.php?skrot=Pwt%208 https://biblia.deon.pl/otworz.php?skrot=Jr%2017 https://biblia.deon.pl/otworz.php?skrot=Ps%2048 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%208
82,Pwt 9,Jr 18,Prz 20,,Mk 12,2 Kor 9,16544,https://biblia.deon.pl/otworz.php?skrot=Pwt%209 https://biblia.deon.pl/otworz.php?skrot=Jr%2018 https://biblia.deon.pl/otworz.php?skrot=Prz%2020 https://biblia.deon.pl/otworz.php?skrot=Mk%2012 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%209
83,Pwt 10-12,Jr 19,,Ps 49,,,16016,https://biblia.deon.pl/otworz.php?skrot=Pwt%2010 https://biblia.deon.pl/otworz.php?skrot=Pwt%2011 https://biblia.deon.pl/otworz.php?skrot=Pwt%2012 https://biblia.deon.pl/otworz.php?skrot=Jr%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%2049
84,Pwt 13-14,Jr 20,Prz 21,,Mk 13,2 Kor 10,17099,https://biblia.deon.pl/otworz.php?skrot=Pwt%2013 https://biblia.deon.pl/otworz.php?skrot=Pwt%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2020 https://biblia.deon.pl/otworz.php?skrot=Prz%2021 https://biblia.deon.pl/otworz.php?skrot=Mk%2013 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2010
85,Pwt 15-17,Jr 21,Prz 22,Ps 50,,,15740,https://biblia.deon.pl/otworz.php?skrot=Pwt%2015 https://biblia.deon.pl/otworz.php?skrot=Pwt%2016 https://biblia.deon.pl/otworz.php?skrot=Pwt%2017 https://biblia.deon.pl/otworz.php?skrot=Jr%2021 https://biblia.deon.pl/otworz.php?skrot=Prz%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2050
86,Pwt 18-19,Jr 22,Prz 23,Ps 51,,2 Kor 11,18012,https://biblia.deon.pl/otworz.php?skrot=Pwt%2018 https://biblia.deon.pl/otworz.php?skrot=Pwt%2019 https://biblia.deon.pl/otworz.php?skrot=Jr%2022 https://biblia.deon.pl/otworz.php?skrot=Prz%2023 https://biblia.deon.pl/otworz.php?skrot=Ps%2051 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2011
87,Pwt 20,Jr 23,,Ps 52,Mk 14,,17420,https://biblia.deon.pl/otworz.php?skrot=Pwt%2020 https://biblia.deon.pl/otworz.php?skrot=Jr%2023 https://biblia.deon.pl/otworz.php?skrot=Ps%2052 https://biblia.deon.pl/otworz.php?skrot=Mk%2014
88,Pwt 21-23,Jr 24,Prz 24,Ps 53,,2 Kor 12,18017,https://biblia.deon.pl/otworz.php?skrot=Pwt%2021 https://biblia.deon.pl/otworz.php?skrot=Pwt%2022 https://biblia.deon.pl/otworz.php?skrot=Pwt%2023 https://biblia.deon.pl/otworz.php?skrot=Jr%2024 https://biblia.deon.pl/otworz.php?skrot=Prz%2024 https://biblia.deon.pl/otworz.php?skrot=Ps%2053 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2012
89,Pwt 24-27,Jr 25,Prz 25,,,,18493,https://biblia.deon.pl/otworz.php?skrot=Pwt%2024 https://biblia.deon.pl/otworz.php?skrot=Pwt%2025 https://biblia.deon.pl/otworz.php?skrot=Pwt%2026 https://biblia.deon.pl/otworz.php?skrot=Pwt%2027 https://biblia.deon.pl/otworz.php?skrot=Jr%2025 https://biblia.deon.pl/otworz.php?skrot=Prz%2025
90,Pwt 28,Jr 26,,,Mk 15,2 Kor 13,19153,https://biblia.deon.pl/otworz.php?skrot=Pwt%2028 https://biblia.deon.pl/otworz.php?skrot=Jr%2026 https://biblia.deon.pl/otworz.php?skrot=Mk%2015 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2013
91,Pwt 29-31,Jr 27,,,,Ga 1,17575,https://biblia.deon.pl/otworz.php?skrot=Pwt%2029 https://biblia.deon.pl/otworz.php?skrot=Pwt%2030 https://biblia.deon.pl/otworz.php?skrot=Pwt%2031 https://biblia.deon.pl/otworz.php?skrot=Jr%2027 https://biblia.deon.pl/otworz.php?skrot=Ga%201
92,Pwt 32-34,Jr 28,Prz 26,Ps 54,Mk 16,,17519,https://biblia.deon.pl/otworz.php?skrot=Pwt%2032 https://biblia.deon.pl/otworz.php?skrot=Pwt%2033 https://biblia.deon.pl/otworz.php?skrot=Pwt%2034 https://biblia.deon.pl/otworz.php?skrot=Jr%2028 https://biblia.deon.pl/otworz.php?skrot=Prz%2026 https://biblia.deon.pl/otworz.php?skrot=Ps%2054 https://biblia.deon.pl/otworz.php?skrot=Mk%2016
93,Joz 1-2,Jr 29,Prz 27,Ps 55,,Ga 2,18516,https://biblia.deon.pl/otworz.php?skrot=Joz%201 https://biblia.deon.pl/otworz.php?skrot=Joz%202 https://biblia.deon.pl/otworz.php?skrot=Jr%2029 https://biblia.deon.pl/otworz.php?skrot=Prz%2027 https://biblia.deon.pl/otworz.php?skrot=Ps%2055 https://biblia.deon.pl/otworz.php?skrot=Ga%202
94,Joz 3-4,Jr 30,Prz 28,Ps 56,Łk 1,,19745,https://biblia.deon.pl/otworz.php?skrot=Joz%203 https://biblia.deon.pl/otworz.php?skrot=Joz%204 https://biblia.deon.pl/otworz.php?skrot=Jr%2030 https://biblia.deon.pl/otworz.php?skrot=Prz%2028 https://biblia.deon.pl/otworz.php?skrot=Ps%2056 https://biblia.deon.pl/otworz.php?skrot=%A3k%201
95,Joz 5-7,Jr 31,Prz 29,,,,18926,https://biblia.deon.pl/otworz.php?skrot=Joz%205 https://biblia.deon.pl/otworz.php?skrot=Joz%206 https://biblia.deon.pl/otworz.php?skrot=Joz%207 https://biblia.deon.pl/otworz.php?skrot=Jr%2031 https://biblia.deon.pl/otworz.php?skrot=Prz%2029
96,Joz 8-9,Jr 32,,,,Ga 3,19660,https://biblia.deon.pl/otworz.php?skrot=Joz%208 https://biblia.deon.pl/otworz.php?skrot=Joz%209 https://biblia.deon.pl/otworz.php?skrot=Jr%2032 https://biblia.deon.pl/otworz.php?skrot=Ga%203
97,Joz 10,Jr 33,,Ps 57,Łk 2,,16416,https://biblia.deon.pl/otworz.php?skrot=Joz%2010 https://biblia.deon.pl/otworz.php?skrot=Jr%2033 https://biblia.deon.pl/otworz.php?skrot=Ps%2057 https://biblia.deon.pl/otworz.php?skrot=%A3k%202
98,Joz 11-12,Jr 34,Prz 30,Ps 58,,Ga 4,16397,https://biblia.deon.pl/otworz.php?skrot=Joz%2011 https://biblia.deon.pl/otworz.php?skrot=Joz%2012 https://biblia.deon.pl/otworz.php?skrot=Jr%2034 https://biblia.deon.pl/otworz.php?skrot=Prz%2030 https://biblia.deon.pl/otworz.php?skrot=Ps%2058 https://biblia.deon.pl/otworz.php?skrot=Ga%204
99,Joz 13-14,Jr 35,Prz 31; Koh 1,,Łk 3,,17573,https://biblia.deon.pl/otworz.php?skrot=Joz%2013 https://biblia.deon.pl/otworz.php?skrot=Joz%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2035 https://biblia.deon.pl/otworz.php?skrot=Prz%2031 https://biblia.deon.pl/otworz.php?skrot=Koh%201 https://biblia.deon.pl/otworz.php?skrot=%A3k%203
100,Joz 15-17,Jr 36,,Ps 59,,Ga 5,19022,https://biblia.deon.pl/otworz.php?skrot=Joz%2015 https://biblia.deon.pl/otworz.php?skrot=Joz%2016 https://biblia.deon.pl/otworz.php?skrot=Joz%2017 https://biblia.deon.pl/otworz.php?skrot=Jr%2036 https://biblia.deon.pl/otworz.php?skrot=Ps%2059 https://biblia.deon.pl/otworz.php?skrot=Ga%205
101,Joz 18-20,Jr 37,,,Łk 4,,17598,https://biblia.deon.pl/otworz.php?skrot=Joz%2018 https://biblia.deon.pl/otworz.php?skrot=Joz%2019 https://biblia.deon.pl/otworz.php?skrot=Joz%2020 https://biblia.deon.pl/otworz.php?skrot=Jr%2037 https://biblia.deon.pl/otworz.php?skrot=%A3k%204
102,Joz 21,Jr 38,Koh 2,Ps 60,,Ga 6,16223,https://biblia.deon.pl/otworz.php?skrot=Joz%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%2038 https://biblia.deon.pl/otworz.php?skrot=Koh%202 https://biblia.deon.pl/otworz.php?skrot=Ps%2060 https://biblia.deon.pl/otworz.php?skrot=Ga%206
103,Joz 22-24,Jr 39,,Ps 61,,,17403,https://biblia.deon.pl/otworz.php?skrot=Joz%2022 https://biblia.deon.pl/otworz.php?skrot=Joz%2023 https://biblia.deon.pl/otworz.php?skrot=Joz%2024 https://biblia.deon.pl/otworz.php?skrot=Jr%2039 https://biblia.deon.pl/otworz.php?skrot=Ps%2061
104,Sdz 1,Jr 40,Koh 3,,Łk 5,Ef 1,17825,https://biblia.deon.pl/otworz.php?skrot=Sdz%201 https://biblia.deon.pl/otworz.php?skrot=Jr%2040 https://biblia.deon.pl/otworz.php?skrot=Koh%203 https://biblia.deon.pl/otworz.php?skrot=%A3k%205 https://biblia.deon.pl/otworz.php?skrot=Ef%201
105,Sdz 2-5,Jr 41,,Ps 62,,,18374,https://biblia.deon.pl/otworz.php?skrot=Sdz%202 https://biblia.deon.pl/otworz.php?skrot=Sdz%203 https://biblia.deon.pl/otworz.php?skrot=Sdz%204 https://biblia.deon.pl/otworz.php?skrot=Sdz%205 https://biblia.deon.pl/otworz.php?skrot=Jr%2041 https://biblia.deon.pl/otworz.php?skrot=Ps%2062
106,Sdz 6,Jr 42,,,Łk 6,Ef 2,17861,https://biblia.deon.pl/otworz.php?skrot=Sdz%206 https://biblia.deon.pl/otworz.php?skrot=Jr%2042 https://biblia.deon.pl/otworz.php?skrot=%A3k%206 https://biblia.deon.pl/otworz.php?skrot=Ef%202
107,Sdz 7-8,Jr 43,Koh 4,Ps 63,,Ef 3,16579,https://biblia.deon.pl/otworz.php?skrot=Sdz%207 https://biblia.deon.pl/otworz.php?skrot=Sdz%208 https://biblia.deon.pl/otworz.php?skrot=Jr%2043 https://biblia.deon.pl/otworz.php?skrot=Koh%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2063 https://biblia.deon.pl/otworz.php?skrot=Ef%203
108,Sdz 9,Jr 44,Koh 5,,,,16396,https://biblia.deon.pl/otworz.php?skrot=Sdz%209 https://biblia.deon.pl/otworz.php?skrot=Jr%2044 https://biblia.deon.pl/otworz.php?skrot=Koh%205
109,Sdz 10-11,Jr 45,Koh 6,Ps 64,Łk 7,,16820,https://biblia.deon.pl/otworz.php?skrot=Sdz%2010 https://biblia.deon.pl/otworz.php?skrot=Sdz%2011 https://biblia.deon.pl/otworz.php?skrot=Jr%2045 https://biblia.deon.pl/otworz.php?skrot=Koh%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2064 https://biblia.deon.pl/otworz.php?skrot=%A3k%207
110,Sdz 12-14,Jr 46,,Ps 65,,Ef 4,17454,https://biblia.deon.pl/otworz.php?skrot=Sdz%2012 https://biblia.deon.pl/otworz.php?skrot=Sdz%2013 https://biblia.deon.pl/otworz.php?skrot=Sdz%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2046 https://biblia.deon.pl/otworz.php?skrot=Ps%2065 https://biblia.deon.pl/otworz.php?skrot=Ef%204
111,Sdz 15,Jr 47,Koh 7-8,Ps 66,,Ef 5-6,17107,https://biblia.deon.pl/otworz.php?skrot=Sdz%2015 https://biblia.deon.pl/otworz.php?skrot=Jr%2047 https://biblia.deon.pl/otworz.php?skrot=Koh%207 https://biblia.deon.pl/otworz.php?skrot=Koh%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2066 https://biblia.deon.pl/otworz.php?skrot=Ef%205 https://biblia.deon.pl/otworz.php?skrot=Ef%206
112,Sdz 16,Jr 48,,Ps 67,Łk 8,,18302,https://biblia.deon.pl/otworz.php?skrot=Sdz%2016 https://biblia.deon.pl/otworz.php?skrot=Jr%2048 https://biblia.deon.pl/otworz.php?skrot=Ps%2067 https://biblia.deon.pl/otworz.php?skrot=%A3k%208
113,Sdz 17-18,Jr 49,Koh 9,Ps 68,,,18883,https://biblia.deon.pl/otworz.php?skrot=Sdz%2017 https://biblia.deon.pl/otworz.php?skrot=Sdz%2018 https://biblia.deon.pl/otworz.php?skrot=Jr%2049 https://biblia.deon.pl/otworz.php?skrot=Koh%209 https://biblia.deon.pl/otworz.php?skrot=Ps%2068
114,Sdz 19-20,Jr 50,,,,,18914,https://biblia.deon.pl/otworz.php?skrot=Sdz%2019 https://biblia.deon.pl/otworz.php?skrot=Sdz%2020 https://biblia.deon.pl/otworz.php?skrot=Jr%2050
115,Sdz 21,Jr 51,,,Łk 9,,19278,https://biblia.deon.pl/otworz.php?skrot=Sdz%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%2051 https://biblia.deon.pl/otworz.php?skrot=%A3k%209
116,Rt 1-2,Jr 52,Koh 10-11,,,Flp 1,18395,https://biblia.deon.pl/otworz.php?skrot=Rt%201 https://biblia.deon.pl/otworz.php?skrot=Rt%202 https://biblia.deon.pl/otworz.php?skrot=Jr%2052 https://biblia.deon.pl/otworz.php?skrot=Koh%2010 https://biblia.deon.pl/otworz.php?skrot=Koh%2011 https://biblia.deon.pl/otworz.php?skrot=Flp%201
117,Rt 3-4,Lm 1,Koh 12,Ps 69,,Flp 2,17633,https://biblia.deon.pl/otworz.php?skrot=Rt%203 https://biblia.deon.pl/otworz.php?skrot=Rt%204 https://biblia.deon.pl/otworz.php?skrot=Lm%201 https://biblia.deon.pl/otworz.php?skrot=Koh%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2069 https://biblia.deon.pl/otworz.php?skrot=Flp%202
118,1 Sm 1-2,Lm 2,,,Łk 10,,17367,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%201 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%202 https://biblia.deon.pl/otworz.php?skrot=Lm%202 https://biblia.deon.pl/otworz.php?skrot=%A3k%2010
119,1 Sm 3-4,Lm 3,Pnp 1-2,Ps 70,,Flp 3,16743,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%203 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%204 https://biblia.deon.pl/otworz.php?skrot=Lm%203 https://biblia.deon.pl/otworz.php?skrot=Pnp%201 https://biblia.deon.pl/otworz.php?skrot=Pnp%202 https://biblia.deon.pl/otworz.php?skrot=Ps%2070 https://biblia.deon.pl/otworz.php?skrot=Flp%203
120,1 Sm 5-8,Lm 4,,Ps 71,,,15162,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%205 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%206 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%207 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%208 https://biblia.deon.pl/otworz.php?skrot=Lm%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2071
121,1 Sm 9,Lm 5,Pnp 3,,Łk 11,Flp 4,16035,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%209 https://biblia.deon.pl/otworz.php?skrot=Lm%205 https://biblia.deon.pl/otworz.php?skrot=Pnp%203 https://biblia.deon.pl/otworz.php?skrot=%A3k%2011 https://biblia.deon.pl/otworz.php?skrot=Flp%204
122,1 Sm 10-12,Ba 1,Pnp 4,Ps 72,,,16671,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2010 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2011 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2012 https://biblia.deon.pl/otworz.php?skrot=Ba%201 https://biblia.deon.pl/otworz.php?skrot=Pnp%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2072
123,1 Sm 13-14,Ba 2,,,,Kol 1,18947,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2013 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2014 https://biblia.deon.pl/otworz.php?skrot=Ba%202 https://biblia.deon.pl/otworz.php?skrot=Kol%201
124,1 Sm 15,Ba 3,,Ps 73,Łk 12,,16985,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2015 https://biblia.deon.pl/otworz.php?skrot=Ba%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2073 https://biblia.deon.pl/otworz.php?skrot=%A3k%2012
125,1 Sm 16,Ba 4,Pnp 5-7,Ps 74,,Kol 2,16778,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2016 https://biblia.deon.pl/otworz.php?skrot=Ba%204 https://biblia.deon.pl/otworz.php?skrot=Pnp%205 https://biblia.deon.pl/otworz.php?skrot=Pnp%206 https://biblia.deon.pl/otworz.php?skrot=Pnp%207 https://biblia.deon.pl/otworz.php?skrot=Ps%2074 https://biblia.deon.pl/otworz.php?skrot=Kol%202
126,1 Sm 17-18,Ba 5,,Ps 75,,Kol 3,16706,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2017 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2018 https://biblia.deon.pl/otworz.php?skrot=Ba%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2075 https://biblia.deon.pl/otworz.php?skrot=Kol%203
127,1 Sm 19,Ba 6,Pnp 8,,Łk 13,,17695,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2019 https://biblia.deon.pl/otworz.php?skrot=Ba%206 https://biblia.deon.pl/otworz.php?skrot=Pnp%208 https://biblia.deon.pl/otworz.php?skrot=%A3k%2013
128,1 Sm 20-21,Ez 1,Mdr 1,Ps 76,,Kol 4,17008,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2020 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2021 https://biblia.deon.pl/otworz.php?skrot=Ez%201 https://biblia.deon.pl/otworz.php?skrot=Mdr%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2076 https://biblia.deon.pl/otworz.php?skrot=Kol%204
129,1 Sm 22-24,Ez 2,,,Łk 14,1 Tes 1,17444,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2022 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2023 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2024 https://biblia.deon.pl/otworz.php?skrot=Ez%202 https://biblia.deon.pl/otworz.php?skrot=%A3k%2014 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%201
130,1 Sm 25-26,Ez 3,Mdr 2,,,,16877,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2025 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2026 https://biblia.deon.pl/otworz.php?skrot=Ez%203 https://biblia.deon.pl/otworz.php?skrot=Mdr%202
131,1 Sm 27-28,Ez 4,Mdr 3,Ps 77,Łk 15,1 Tes 2,17228,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2027 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2028 https://biblia.deon.pl/otworz.php?skrot=Ez%204 https://biblia.deon.pl/otworz.php?skrot=Mdr%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2077 https://biblia.deon.pl/otworz.php?skrot=%A3k%2015 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%202
132,1 Sm 29-31,Ez 5,,Ps 78,,1 Tes 3,17761,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2029 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2030 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2031 https://biblia.deon.pl/otworz.php?skrot=Ez%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2078 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%203
133,2 Sm 1-2,Ez 6,Mdr 4,,Łk 16,1 Tes 4,17629,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%201 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%202 https://biblia.deon.pl/otworz.php?skrot=Ez%206 https://biblia.deon.pl/otworz.php?skrot=Mdr%204 https://biblia.deon.pl/otworz.php?skrot=%A3k%2016 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%204
134,2 Sm 3-5,Ez 7,Mdr 5,,,,16676,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%203 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%204 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%205 https://biblia.deon.pl/otworz.php?skrot=Ez%207 https://biblia.deon.pl/otworz.php?skrot=Mdr%205
135,2 Sm 6-7,Ez 8,,Ps 79,Łk 17,,15106,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%206 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%207 https://biblia.deon.pl/otworz.php?skrot=Ez%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2079 https://biblia.deon.pl/otworz.php?skrot=%A3k%2017
136,2 Sm 8,Ez 9,Mdr 6,Ps 80,Łk 18,1 Tes 5; 2 Tes 1,16233,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%208 https://biblia.deon.pl/otworz.php?skrot=Ez%209 https://biblia.deon.pl/otworz.php?skrot=Mdr%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2080 https://biblia.deon.pl/otworz.php?skrot=%A3k%2018 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%205 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%201
137,2 Sm 9-11,Ez 10,,Ps 81,,2 Tes 2,15459,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%209 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2010 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2011 https://biblia.deon.pl/otworz.php?skrot=Ez%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%2081 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%202
138,2 Sm 12-13,Ez 11,,Ps 82,,2 Tes 3,16036,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2012 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2013 https://biblia.deon.pl/otworz.php?skrot=Ez%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%2082 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%203
139,2 Sm 14,Ez 12,Mdr 7-8,,Łk 19,,19066,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2014 https://biblia.deon.pl/otworz.php?skrot=Ez%2012 https://biblia.deon.pl/otworz.php?skrot=Mdr%207 https://biblia.deon.pl/otworz.php?skrot=Mdr%208 https://biblia.deon.pl/otworz.php?skrot=%A3k%2019
140,2 Sm 15-17,Ez 13,,,,,16829,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2015 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2016 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2017 https://biblia.deon.pl/otworz.php?skrot=Ez%2013
141,2 Sm 18,Ez 14,,Ps 83,Łk 20,1 Tm 1,17288,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2018 https://biblia.deon.pl/otworz.php?skrot=Ez%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%2083 https://biblia.deon.pl/otworz.php?skrot=%A3k%2020 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%201
142,2 Sm 19,Ez 15,Mdr 9-10,Ps 84,,1 Tm 2,14961,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2019 https://biblia.deon.pl/otworz.php?skrot=Ez%2015 https://biblia.deon.pl/otworz.php?skrot=Mdr%209 https://biblia.deon.pl/otworz.php?skrot=Mdr%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%2084 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%202
143,2 Sm 20,Ez 16,,Ps 85,,1 Tm 3,16107,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2020 https://biblia.deon.pl/otworz.php?skrot=Ez%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%2085 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%203
144,2 Sm 21,Ez 17,Mdr 11,Ps 86,Łk 21,1 Tm 4,17004,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2021 https://biblia.deon.pl/otworz.php?skrot=Ez%2017 https://biblia.deon.pl/otworz.php?skrot=Mdr%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%2086 https://biblia.deon.pl/otworz.php?skrot=%A3k%2021 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%204
