dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
46,Lb 32-34,Jr 17-18,Prz 12,Ps 46,Mk 10,,27738,https://biblia.deon.pl/otworz.php?skrot=Lb%2032 https://biblia.deon.pl/otworz.php?skrot=Lb%2033 https://biblia.deon.pl/otworz.php?skrot=Lb%2034 https://biblia.deon.pl/otworz.php?skrot=Jr%2017 https://biblia.deon.pl/otworz.php?skrot=Jr%2018 https://biblia.deon.pl/otworz.php?skrot=Prz%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2046 https://biblia.deon.pl/otworz.php?skrot=Mk%2010
47,Lb 35-36; Pwt 1-2,Jr 19,Prz 13,Ps 47,Mk 11,2 Kor 6,27182,https://biblia.deon.pl/otworz.php?skrot=Lb%2035 https://biblia.deon.pl/otworz.php?skrot=Lb%2036 https://biblia.deon.pl/otworz.php?skrot=Pwt%201 https://biblia.deon.pl/otworz.php?skrot=Pwt%202 https://biblia.deon.pl/otworz.php?skrot=Jr%2019 https://biblia.deon.pl/otworz.php?skrot=Prz%2013 https://biblia.deon.pl/otworz.php?skrot=Ps%2047 https://biblia.deon.pl/otworz.php?skrot=Mk%2011 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%206
48,Pwt 3-4,Jr 20-21,Prz 14,Ps 48,Mk 12,2 Kor 7,26522,https://biblia.deon.pl/otworz.php?skrot=Pwt%203 https://biblia.deon.pl/otworz.php?skrot=Pwt%204 https://biblia.deon.pl/otworz.php?skrot=Jr%2020 https://biblia.deon.pl/otworz.php?skrot=Jr%2021 https://biblia.deon.pl/otworz.php?skrot=Prz%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%2048 https://biblia.deon.pl/otworz.php?skrot=Mk%2012 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%207
49,Pwt 5-8,Jr 22,Prz 15,Ps 49,,2 Kor 8-10,29023,https://biblia.deon.pl/otworz.php?skrot=Pwt%205 https://biblia.deon.pl/otworz.php?skrot=Pwt%206 https://biblia.deon.pl/otworz.php?skrot=Pwt%207 https://biblia.deon.pl/otworz.php?skrot=Pwt%208 https://biblia.deon.pl/otworz.php?skrot=Jr%2022 https://biblia.deon.pl/otworz.php?skrot=Prz%2015 https://biblia.deon.pl/otworz.php?skrot=Ps%2049 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%208 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%209 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2010
50,Pwt 9-12,Jr 23,Prz 16,Ps 50,Mk 13,,29903,https://biblia.deon.pl/otworz.php?skrot=Pwt%209 https://biblia.deon.pl/otworz.php?skrot=Pwt%2010 https://biblia.deon.pl/otworz.php?skrot=Pwt%2011 https://biblia.deon.pl/otworz.php?skrot=Pwt%2012 https://biblia.deon.pl/otworz.php?skrot=Jr%2023 https://biblia.deon.pl/otworz.php?skrot=Prz%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%2050 https://biblia.deon.pl/otworz.php?skrot=Mk%2013
51,Pwt 13-14,Jr 24-25,Prz 17,Ps 51,Mk 14,2 Kor 11,28227,https://biblia.deon.pl/otworz.php?skrot=Pwt%2013 https://biblia.deon.pl/otworz.php?skrot=Pwt%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2024 https://biblia.deon.pl/otworz.php?skrot=Jr%2025 https://biblia.deon.pl/otworz.php?skrot=Prz%2017 https://biblia.deon.pl/otworz.php?skrot=Ps%2051 https://biblia.deon.pl/otworz.php?skrot=Mk%2014 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2011
52,Pwt 15-20,Jr 26,Prz 18,Ps 52,,2 Kor 12,27080,https://biblia.deon.pl/otworz.php?skrot=Pwt%2015 https://biblia.deon.pl/otworz.php?skrot=Pwt%2016 https://biblia.deon.pl/otworz.php?skrot=Pwt%2017 https://biblia.deon.pl/otworz.php?skrot=Pwt%2018 https://biblia.deon.pl/otworz.php?skrot=Pwt%2019 https://biblia.deon.pl/otworz.php?skrot=Pwt%2020 https://biblia.deon.pl/otworz.php?skrot=Jr%2026 https://biblia.deon.pl/otworz.php?skrot=Prz%2018 https://biblia.deon.pl/otworz.php?skrot=Ps%2052 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2012
53,Pwt 21-25,Jr 27-28,Prz 19,Ps 53,Mk 15,,29046,https://biblia.deon.pl/otworz.php?skrot=Pwt%2021 https://biblia.deon.pl/otworz.php?skrot=Pwt%2022 https://biblia.deon.pl/otworz.php?skrot=Pwt%2023 https://biblia.deon.pl/otworz.php?skrot=Pwt%2024 https://biblia.deon.pl/otworz.php?skrot=Pwt%2025 https://biblia.deon.pl/otworz.php?skrot=Jr%2027 https://biblia.deon.pl/otworz.php?skrot=Jr%2028 https://biblia.deon.pl/otworz.php?skrot=Prz%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%2053 https://biblia.deon.pl/otworz.php?skrot=Mk%2015
54,Pwt 26-28,Jr 29,Prz 20,Ps 54,,2 Kor 13; Ga 1,26916,https://biblia.deon.pl/otworz.php?skrot=Pwt%2026 https://biblia.deon.pl/otworz.php?skrot=Pwt%2027 https://biblia.deon.pl/otworz.php?skrot=Pwt%2028 https://biblia.deon.pl/otworz.php?skrot=Jr%2029 https://biblia.deon.pl/otworz.php?skrot=Prz%2020 https://biblia.deon.pl/otworz.php?skrot=Ps%2054 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%2013 https://biblia.deon.pl/otworz.php?skrot=Ga%201
55,Pwt 29-30,Jr 30,Prz 21,Ps 55,Mk 16; Łk 1,Ga 2,27265,https://biblia.deon.pl/otworz.php?skrot=Pwt%2029 https://biblia.deon.pl/otworz.php?skrot=Pwt%2030 https://biblia.deon.pl/otworz.php?skrot=Jr%2030 https://biblia.deon.pl/otworz.php?skrot=Prz%2021 https://biblia.deon.pl/otworz.php?skrot=Ps%2055 https://biblia.deon.pl/otworz.php?skrot=Mk%2016 https://biblia.deon.pl/otworz.php?skrot=%A3k%201 https://biblia.deon.pl/otworz.php?skrot=Ga%202
56,Pwt 31-34; Joz 1-2,Jr 31,Prz 22,Ps 56,,,30347,https://biblia.deon.pl/otworz.php?skrot=Pwt%2031 https://biblia.deon.pl/otworz.php?skrot=Pwt%2032 https://biblia.deon.pl/otworz.php?skrot=Pwt%2033 https://biblia.deon.pl/otworz.php?skrot=Pwt%2034 https://biblia.deon.pl/otworz.php?skrot=Joz%201 https://biblia.deon.pl/otworz.php?skrot=Joz%202 https://biblia.deon.pl/otworz.php?skrot=Jr%2031 https://biblia.deon.pl/otworz.php?skrot=Prz%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2056
57,Joz 3-4,Jr 32,Prz 23,Ps 57,Łk 2,Ga 3-4,28129,https://biblia.deon.pl/otworz.php?skrot=Joz%203 https://biblia.deon.pl/otworz.php?skrot=Joz%204 https://biblia.deon.pl/otworz.php?skrot=Jr%2032 https://biblia.deon.pl/otworz.php?skrot=Prz%2023 https://biblia.deon.pl/otworz.php?skrot=Ps%2057 https://biblia.deon.pl/otworz.php?skrot=%A3k%202 https://biblia.deon.pl/otworz.php?skrot=Ga%203 https://biblia.deon.pl/otworz.php?skrot=Ga%204
58,Joz 5-9,Jr 33,Prz 24,Ps 58,,,27466,https://biblia.deon.pl/otworz.php?skrot=Joz%205 https://biblia.deon.pl/otworz.php?skrot=Joz%206 https://biblia.deon.pl/otworz.php?skrot=Joz%207 https://biblia.deon.pl/otworz.php?skrot=Joz%208 https://biblia.deon.pl/otworz.php?skrot=Joz%209 https://biblia.deon.pl/otworz.php?skrot=Jr%2033 https://biblia.deon.pl/otworz.php?skrot=Prz%2024 https://biblia.deon.pl/otworz.php?skrot=Ps%2058
59,Joz 10-12,Jr 34-35,Prz 25,Ps 59,Łk 3,Ga 5,29354,https://biblia.deon.pl/otworz.php?skrot=Joz%2010 https://biblia.deon.pl/otworz.php?skrot=Joz%2011 https://biblia.deon.pl/otworz.php?skrot=Joz%2012 https://biblia.deon.pl/otworz.php?skrot=Jr%2034 https://biblia.deon.pl/otworz.php?skrot=Jr%2035 https://biblia.deon.pl/otworz.php?skrot=Prz%2025 https://biblia.deon.pl/otworz.php?skrot=Ps%2059 https://biblia.deon.pl/otworz.php?skrot=%A3k%203 https://biblia.deon.pl/otworz.php?skrot=Ga%205
60,Joz 13-17,Jr 36,Prz 26,Ps 60,Łk 4,,28762,https://biblia.deon.pl/otworz.php?skrot=Joz%2013 https://biblia.deon.pl/otworz.php?skrot=Joz%2014 https://biblia.deon.pl/otworz.php?skrot=Joz%2015 https://biblia.deon.pl/otworz.php?skrot=Joz%2016 https://biblia.deon.pl/otworz.php?skrot=Joz%2017 https://biblia.deon.pl/otworz.php?skrot=Jr%2036 https://biblia.deon.pl/otworz.php?skrot=Prz%2026 https://biblia.deon.pl/otworz.php?skrot=Ps%2060 https://biblia.deon.pl/otworz.php?skrot=%A3k%204
61,Joz 18-21,Jr 37,Prz 27,Ps 61,Łk 5,Ga 6; Ef 1,29719,https://biblia.deon.pl/otworz.php?skrot=Joz%2018 https://biblia.deon.pl/otworz.php?skrot=Joz%2019 https://biblia.deon.pl/otworz.php?skrot=Joz%2020 https://biblia.deon.pl/otworz.php?skrot=Joz%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%2037 https://biblia.deon.pl/otworz.php?skrot=Prz%2027 https://biblia.deon.pl/otworz.php?skrot=Ps%2061 https://biblia.deon.pl/otworz.php?skrot=%A3k%205 https://biblia.deon.pl/otworz.php?skrot=Ga%206 https://biblia.deon.pl/otworz.php?skrot=Ef%201
62,Joz 22-24; Sdz 1,Jr 38-39,Prz 28,Ps 62,,,29502,https://biblia.deon.pl/otworz.php?skrot=Joz%2022 https://biblia.deon.pl/otworz.php?skrot=Joz%2023 https://biblia.deon.pl/otworz.php?skrot=Joz%2024 https://biblia.deon.pl/otworz.php?skrot=Sdz%201 https://biblia.deon.pl/otworz.php?skrot=Jr%2038 https://biblia.deon.pl/otworz.php?skrot=Jr%2039 https://biblia.deon.pl/otworz.php?skrot=Prz%2028 https://biblia.deon.pl/otworz.php?skrot=Ps%2062
63,Sdz 2-5,Jr 40,Prz 29,Ps 63,Łk 6,Ef 2-3,31182,https://biblia.deon.pl/otworz.php?skrot=Sdz%202 https://biblia.deon.pl/otworz.php?skrot=Sdz%203 https://biblia.deon.pl/otworz.php?skrot=Sdz%204 https://biblia.deon.pl/otworz.php?skrot=Sdz%205 https://biblia.deon.pl/otworz.php?skrot=Jr%2040 https://biblia.deon.pl/otworz.php?skrot=Prz%2029 https://biblia.deon.pl/otworz.php?skrot=Ps%2063 https://biblia.deon.pl/otworz.php?skrot=%A3k%206 https://biblia.deon.pl/otworz.php?skrot=Ef%202 https://biblia.deon.pl/otworz.php?skrot=Ef%203
64,Sdz 6-7,Jr 41-42,Prz 30,Ps 64,Łk 7,Ef 4,29343,https://biblia.deon.pl/otworz.php?skrot=Sdz%206 https://biblia.deon.pl/otworz.php?skrot=Sdz%207 https://biblia.deon.pl/otworz.php?skrot=Jr%2041 https://biblia.deon.pl/otworz.php?skrot=Jr%2042 https://biblia.deon.pl/otworz.php?skrot=Prz%2030 https://biblia.deon.pl/otworz.php?skrot=Ps%2064 https://biblia.deon.pl/otworz.php?skrot=%A3k%207 https://biblia.deon.pl/otworz.php?skrot=Ef%204
65,Sdz 8-10,Jr 43-45,Prz 31,Ps 65,,Ef 5,30358,https://biblia.deon.pl/otworz.php?skrot=Sdz%208 https://biblia.deon.pl/otworz.php?skrot=Sdz%209 https://biblia.deon.pl/otworz.php?skrot=Sdz%2010 https://biblia.deon.pl/otworz.php?skrot=Jr%2043 https://biblia.deon.pl/otworz.php?skrot=Jr%2044 https://biblia.deon.pl/otworz.php?skrot=Jr%2045 https://biblia.deon.pl/otworz.php?skrot=Prz%2031 https://biblia.deon.pl/otworz.php?skrot=Ps%2065 https://biblia.deon.pl/otworz.php?skrot=Ef%205
66,Sdz 11-14,Jr 46,Koh 1,Ps 66,Łk 8,Ef 6,31529,https://biblia.deon.pl/otworz.php?skrot=Sdz%2011 https://biblia.deon.pl/otworz.php?skrot=Sdz%2012 https://biblia.deon.pl/otworz.php?skrot=Sdz%2013 https://biblia.deon.pl/otworz.php?skrot=Sdz%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2046 https://biblia.deon.pl/otworz.php?skrot=Koh%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2066 https://biblia.deon.pl/otworz.php?skrot=%A3k%208 https://biblia.deon.pl/otworz.php?skrot=Ef%206
67,Sdz 15-19,Jr 47-48,Koh 2,Ps 67,,,31138,https://biblia.deon.pl/otworz.php?skrot=Sdz%2015 https://biblia.deon.pl/otworz.php?skrot=Sdz%2016 https://biblia.deon.pl/otworz.php?skrot=Sdz%2017 https://biblia.deon.pl/otworz.php?skrot=Sdz%2018 https://biblia.deon.pl/otworz.php?skrot=Sdz%2019 https://biblia.deon.pl/otworz.php?skrot=Jr%2047 https://biblia.deon.pl/otworz.php?skrot=Jr%2048 https://biblia.deon.pl/otworz.php?skrot=Koh%202 https://biblia.deon.pl/otworz.php?skrot=Ps%2067
68,Sdz 20,Jr 49,Koh 3,Ps 68,Łk 9,Flp 1,29021,https://biblia.deon.pl/otworz.php?skrot=Sdz%2020 https://biblia.deon.pl/otworz.php?skrot=Jr%2049 https://biblia.deon.pl/otworz.php?skrot=Koh%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2068 https://biblia.deon.pl/otworz.php?skrot=%A3k%209 https://biblia.deon.pl/otworz.php?skrot=Flp%201
69,Sdz 21; Rt 1-4,Jr 50,Koh 4,Ps 69,,Flp 2,31583,https://biblia.deon.pl/otworz.php?skrot=Sdz%2021 https://biblia.deon.pl/otworz.php?skrot=Rt%201 https://biblia.deon.pl/otworz.php?skrot=Rt%202 https://biblia.deon.pl/otworz.php?skrot=Rt%203 https://biblia.deon.pl/otworz.php?skrot=Rt%204 https://biblia.deon.pl/otworz.php?skrot=Jr%2050 https://biblia.deon.pl/otworz.php?skrot=Koh%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2069 https://biblia.deon.pl/otworz.php?skrot=Flp%202
70,1 Sm 1-3,Jr 51,Koh 5,Ps 70,Łk 10,Flp 3,30700,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%201 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%202 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%203 https://biblia.deon.pl/otworz.php?skrot=Jr%2051 https://biblia.deon.pl/otworz.php?skrot=Koh%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2070 https://biblia.deon.pl/otworz.php?skrot=%A3k%2010 https://biblia.deon.pl/otworz.php?skrot=Flp%203
71,1 Sm 4-9,Jr 52,Koh 6,Ps 71,,Flp 4,29448,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%204 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%205 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%206 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%207 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%208 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%209 https://biblia.deon.pl/otworz.php?skrot=Jr%2052 https://biblia.deon.pl/otworz.php?skrot=Koh%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2071 https://biblia.deon.pl/otworz.php?skrot=Flp%204
72,1 Sm 10-13,Lm 1,Koh 7,Ps 72,Łk 11,Kol 1,32066,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2010 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2011 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2012 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2013 https://biblia.deon.pl/otworz.php?skrot=Lm%201 https://biblia.deon.pl/otworz.php?skrot=Koh%207 https://biblia.deon.pl/otworz.php?skrot=Ps%2072 https://biblia.deon.pl/otworz.php?skrot=%A3k%2011 https://biblia.deon.pl/otworz.php?skrot=Kol%201
73,1 Sm 14-15,Lm 2-3,Koh 8,Ps 73,Łk 12,,31206,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2014 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2015 https://biblia.deon.pl/otworz.php?skrot=Lm%202 https://biblia.deon.pl/otworz.php?skrot=Lm%203 https://biblia.deon.pl/otworz.php?skrot=Koh%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2073 https://biblia.deon.pl/otworz.php?skrot=%A3k%2012
74,1 Sm 16-19,Lm 4-5,Koh 9,Ps 74,,Kol 2,30724,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2016 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2017 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2018 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2019 https://biblia.deon.pl/otworz.php?skrot=Lm%204 https://biblia.deon.pl/otworz.php?skrot=Lm%205 https://biblia.deon.pl/otworz.php?skrot=Koh%209 https://biblia.deon.pl/otworz.php?skrot=Ps%2074 https://biblia.deon.pl/otworz.php?skrot=Kol%202
75,1 Sm 20-22,Ba 1-2,Koh 10-12,Ps 75,Łk 13,Kol 3,32163,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2020 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2021 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2022 https://biblia.deon.pl/otworz.php?skrot=Ba%201 https://biblia.deon.pl/otworz.php?skrot=Ba%202 https://biblia.deon.pl/otworz.php?skrot=Koh%2010 https://biblia.deon.pl/otworz.php?skrot=Koh%2011 https://biblia.deon.pl/otworz.php?skrot=Koh%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2075 https://biblia.deon.pl/otworz.php?skrot=%A3k%2013 https://biblia.deon.pl/otworz.php?skrot=Kol%203
76,1 Sm 23-25,Ba 3-4,Pnp 1,Ps 76,Łk 14,Kol 4; 1 Tes 1,30846,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2023 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2024 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2025 https://biblia.deon.pl/otworz.php?skrot=Ba%203 https://biblia.deon.pl/otworz.php?skrot=Ba%204 https://biblia.deon.pl/otworz.php?skrot=Pnp%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2076 https://biblia.deon.pl/otworz.php?skrot=%A3k%2014 https://biblia.deon.pl/otworz.php?skrot=Kol%204 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%201
77,1 Sm 26-30,Ba 5,Pnp 2-3,Ps 77,Łk 15-16,1 Tes 2,31119,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2026 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2027 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2028 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2029 https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2030 https://biblia.deon.pl/otworz.php?skrot=Ba%205 https://biblia.deon.pl/otworz.php?skrot=Pnp%202 https://biblia.deon.pl/otworz.php?skrot=Pnp%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2077 https://biblia.deon.pl/otworz.php?skrot=%A3k%2015 https://biblia.deon.pl/otworz.php?skrot=%A3k%2016 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%202
78,1 Sm 31; 2 Sm 1-3,Ba 6,Pnp 4,Ps 78,,,30442,https://biblia.deon.pl/otworz.php?skrot=1%20Sm%2031 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%201 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%202 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%203 https://biblia.deon.pl/otworz.php?skrot=Ba%206 https://biblia.deon.pl/otworz.php?skrot=Pnp%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2078
79,2 Sm 4-8,Ez 1,Pnp 5,Ps 79,Łk 17,1 Tes 3-4,28991,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%204 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%205 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%206 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%207 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%208 https://biblia.deon.pl/otworz.php?skrot=Ez%201 https://biblia.deon.pl/otworz.php?skrot=Pnp%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2079 https://biblia.deon.pl/otworz.php?skrot=%A3k%2017 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%203 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%204
80,2 Sm 9-11,Ez 2-3,Pnp 6-8,Ps 80,Łk 18,1 Tes 5; 2 Tes 1,28465,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%209 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2010 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2011 https://biblia.deon.pl/otworz.php?skrot=Ez%202 https://biblia.deon.pl/otworz.php?skrot=Ez%203 https://biblia.deon.pl/otworz.php?skrot=Pnp%206 https://biblia.deon.pl/otworz.php?skrot=Pnp%207 https://biblia.deon.pl/otworz.php?skrot=Pnp%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2080 https://biblia.deon.pl/otworz.php?skrot=%A3k%2018 https://biblia.deon.pl/otworz.php?skrot=1%20Tes%205 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%201
81,2 Sm 12-14,Ez 4-6,Mdr 1,Ps 81,,2 Tes 2,28037,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2012 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2013 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2014 https://biblia.deon.pl/otworz.php?skrot=Ez%204 https://biblia.deon.pl/otworz.php?skrot=Ez%205 https://biblia.deon.pl/otworz.php?skrot=Ez%206 https://biblia.deon.pl/otworz.php?skrot=Mdr%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2081 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%202
82,2 Sm 15-17,Ez 7,Mdr 2,Ps 82,Łk 19,2 Tes 3,26754,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2015 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2016 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2017 https://biblia.deon.pl/otworz.php?skrot=Ez%207 https://biblia.deon.pl/otworz.php?skrot=Mdr%202 https://biblia.deon.pl/otworz.php?skrot=Ps%2082 https://biblia.deon.pl/otworz.php?skrot=%A3k%2019 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%203
83,2 Sm 18-19,Ez 8,Mdr 3,Ps 83,Łk 20,1 Tm 1-3,28890,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2018 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2019 https://biblia.deon.pl/otworz.php?skrot=Ez%208 https://biblia.deon.pl/otworz.php?skrot=Mdr%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2083 https://biblia.deon.pl/otworz.php?skrot=%A3k%2020 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%201 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%202 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%203
84,2 Sm 20-22,Ez 9-11,Mdr 4,Ps 84,Łk 21,1 Tm 4,28858,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2020 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2021 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2022 https://biblia.deon.pl/otworz.php?skrot=Ez%209 https://biblia.deon.pl/otworz.php?skrot=Ez%2010 https://biblia.deon.pl/otworz.php?skrot=Ez%2011 https://biblia.deon.pl/otworz.php?skrot=Mdr%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2084 https://biblia.deon.pl/otworz.php?skrot=%A3k%2021 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%204
85,2 Sm 23-24; 1 Krl 1-2,Ez 12,Mdr 5,Ps 85,,,29694,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2023 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2024 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%201 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%202 https://biblia.deon.pl/otworz.php?skrot=Ez%2012 https://biblia.deon.pl/otworz.php?skrot=Mdr%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2085
86,1 Krl 3,Ez 13-15,Mdr 6,Ps 86,Łk 22,1 Tm 5-6,28576,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%203 https://biblia.deon.pl/otworz.php?skrot=Ez%2013 https://biblia.deon.pl/otworz.php?skrot=Ez%2014 https://biblia.deon.pl/otworz.php?skrot=Ez%2015 https://biblia.deon.pl/otworz.php?skrot=Mdr%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2086 https://biblia.deon.pl/otworz.php?skrot=%A3k%2022 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%205 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%206
87,1 Krl 4-6,Ez 16,Mdr 7,Ps 87,Łk 23,,29317,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%204 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%205 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%206 https://biblia.deon.pl/otworz.php?skrot=Ez%2016 https://biblia.deon.pl/otworz.php?skrot=Mdr%207 https://biblia.deon.pl/otworz.php?skrot=Ps%2087 https://biblia.deon.pl/otworz.php?skrot=%A3k%2023
88,1 Krl 7-8,Ez 17,Mdr 8,Ps 88,,2 Tm 1,27746,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%207 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%208 https://biblia.deon.pl/otworz.php?skrot=Ez%2017 https://biblia.deon.pl/otworz.php?skrot=Mdr%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2088 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%201
89,1 Krl 9-10,Ez 18-19,Mdr 9,Ps 89,Łk 24,2 Tm 2,28763,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%209 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2010 https://biblia.deon.pl/otworz.php?skrot=Ez%2018 https://biblia.deon.pl/otworz.php?skrot=Ez%2019 https://biblia.deon.pl/otworz.php?skrot=Mdr%209 https://biblia.deon.pl/otworz.php?skrot=Ps%2089 https://biblia.deon.pl/otworz.php?skrot=%A3k%2024 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%202
90,1 Krl 11-12,Ez 20,Mdr 10,Ps 90,,2 Tm 3-4; Tt 1,28528,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2011 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2012 https://biblia.deon.pl/otworz.php?skrot=Ez%2020 https://biblia.deon.pl/otworz.php?skrot=Mdr%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%2090 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%203 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%204 https://biblia.deon.pl/otworz.php?skrot=Tt%201
